CODMUNI;MINMDT;MAXMDT;RANGEMDT;MEANMDT;STDMDT;MINPENDI;MAXPENDI;RANGEPENDI;MEANPENDI;STDPENDI
47165;658;834;176;696.624422;30.244919;0;19.360497;19.360497;1.610398;1.844155
47166;656;710;54;683.485357;13.126533;0;9.176474;9.176474;1.323;1.304003
47167;729;824;95;781.362294;19.600504;0;13.017794;13.017794;1.46562;1.492237
47168;745;838;93;798.15428;28.011365;0;16.519413;16.519413;3.846433;3.268752
47169;774;905;131;874.497544;32.203589;0;19.536493;19.536493;3.167333;3.087785
47170;763;917;154;873.008367;40.744415;0;24.402901;24.402901;3.912938;4.652318
47171;723;845;122;811.181499;38.31989;0;22.034866;22.034866;2.00117;2.733656
47174;703;860;157;789.461887;52.482739;0;16.040306;16.040306;1.999063;2.245519
47172;795;902;107;878.421385;17.489406;0;19.250799;19.250799;1.973525;3.222101
47173;703;867;164;749.887335;46.68469;0;22.261225;22.261225;2.197026;3.254285
47176;738;801;63;769.246443;11.330891;0;5.095524;5.095524;1.247739;0.73321
47175;689;860;171;738.250254;42.776782;0;23.881294;23.881294;2.858363;3.425381
47177;727;798;71;767.209742;13.644683;0;4.719539;4.719539;1.546976;0.840705
47179;722;895;173;812.866001;55.565791;0;22.046555;22.046555;4.37717;4.191705
47182;679;792;113;711.403126;19.661463;0;10.038003;10.038003;1.46401;1.30459
47183;716;803;87;754.050255;17.724964;0;5.86477;5.86477;1.456605;0.865542
47184;696;878;182;763.472673;59.432048;0;23.896391;23.896391;3.401508;4.326265
47188;704;834;130;746.134585;34.070084;0;16.223972;16.223972;2.608319;2.485625
47189;721;768;47;741.760792;9.376819;0;4.053349;4.053349;0.91348;0.647272
47190;712;840;128;811.329218;33.757537;0;17.86557;17.86557;2.749105;3.010916
47191;715;843;128;804.441994;42.548392;0;18.258459;18.258459;2.718777;3.306085
47193;679;744;65;700.381188;9.002399;0;9.936887;9.936887;1.515231;1.53202
47194;839;886;47;872.59058;9.668803;0;8.651809;8.651809;1.577856;1.720617
47209;728;790;62;761.373929;12.438401;0;5.793581;5.793581;1.535967;0.819829
