CODMUNI;MINDISN10M;MAXDISN10M;RANGEDISN10M;MEANDISN10M;STDDISN10M
9180;20479.73953;29738.37561;9258.636082;24512.24845;2345.185304
9174;26449.86679;40294.47063;13844.60384;33720.52599;3074.890281
9184;37185.77755;42042.6078;4856.830244;39692.64232;1172.043282
9196;20013.37308;25368.60498;5355.231906;22734.03309;1269.342139
9175;32881.68751;43174.95021;10293.2627;38842.14767;2386.74665
9176;9125.019918;13071.82581;3946.805888;11041.67058;978.850339
9177;11703.22492;31791.31088;20088.08596;19153.21562;5234.009221
9178;21560.72323;24540.90184;2980.178611;22880.64577;725.106231
9194;27703.73093;38330.51272;10626.78179;33730.84812;2480.259587
9181;14334.30538;23762.50177;9428.19639;19230.15376;2333.750853
9182;37029.44525;42516.49288;5487.047625;39895.0628;1285.772933
9183;38090.92753;42674.84568;4583.918151;40403.04634;1126.923584
9189;32622.52528;44147.19326;11524.66798;37848.7618;2608.525484
9195;34632.20609;39531.63794;4899.431851;37805.5893;989.959518
9190;17387.26786;28276.80997;10889.54211;22628.20027;2574.422086
9191;26199.45887;34095.4528;7895.993929;30145.73931;1901.026831
9192;21804.08007;28579.21384;6775.13377;25170.42848;1581.644627
9197;17562.9042;24993.81109;7430.906895;21983.11105;1704.38454
9198;23885.06214;34489.24921;10604.18707;29047.72124;2498.317484
9199;21570.5642;28386.58122;6816.017018;25193.12756;1729.469069
37165;57270.56162;61433.12529;4162.563664;59519.59873;1005.801156
9200;25964.94792;35976.09571;10011.14779;30940.53464;2656.46316
9201;36490.06255;42203.69845;5713.635897;39113.21106;1281.159849
9202;21983.55256;25161.42161;3177.869055;23506.48261;819.126783
9206;20336.72055;25849.24769;5512.527136;22715.45827;1269.063101
9226;49622.12754;54353.04053;4730.912988;52211.96062;1113.811978
9208;24363.43441;32862.85199;8499.417579;28801.43903;1664.962812
9209;29700.45807;51980.7105;22280.25244;41496.36415;5186.167134
9220;16661.95676;22059.46179;5397.505029;19598.18539;1324.176045
9227;23760.79414;31613.56468;7852.770547;27877.26478;1699.259537
9211;41502.6515;52159.03851;10656.38701;46250.26363;2283.038429
9213;31573.02426;52146.56291;20573.53864;42266.82011;4816.463003
9221;6846.517909;11678.7412;4832.223286;9383.122564;1353.31577
9214;30693.06386;47157.7596;16464.69575;38316.34189;4646.10814
9223;51782.38339;55330.13757;3547.754184;53486.98562;855.776354
9224;17668.61775;25437.12213;7768.504376;22116.48748;1812.149299
9215;32170.21049;46365.00386;14194.79336;39226.10372;3304.184489
9225;48601.60907;55427.98494;6826.37587;51533.78097;1300.773921
9239;15195.95389;19374.95702;4179.003122;17654.51565;916.032793
9216;23439.47315;40141.90831;16702.43517;31285.22564;3767.36432
9241;8228.859536;12212.86565;3984.006111;10477.59822;930.793207
9217;41024.76553;51916.09032;10891.32479;47857.28404;2559.165709
9218;6260.236344;13207.12635;6946.890003;9776.207624;1659.795727
9219;41.403185;9649.724447;9608.321262;4470.406189;2094.782399
9228;13585.31652;18761.61337;5176.296845;16101.12581;1225.214787
9229;20008.11437;27407.38517;7399.270798;23788.63359;1627.724775
9230;29396.95431;33263.94735;3866.993049;31240.0606;915.330796
9231;28353.58961;37491.11365;9137.524047;32545.48766;1870.561496
9232;47051.02434;59057.44664;12006.4223;53186.57167;3141.652861
9235;19418.8116;27116.57361;7697.762009;23421.04119;1874.749122
9236;23214.70303;27035.53255;3820.82952;25079.72709;862.536252
9238;20803.60939;45872.57042;25068.96103;35832.22029;5396.187071
9242;36903.8673;42569.40132;5665.534013;39736.11654;1252.339975
9243;38667.02265;44483.16241;5816.139766;41637.04568;1282.484787
9244;38946.02115;44183.78574;5237.764593;41973.8469;1258.869246
9248;21556.24916;28570.01037;7013.761211;24841.29351;1554.350263
9246;51601.29707;60082.1336;8480.836527;56067.65303;1867.019853
9247;40492.61335;45983.77848;5491.165133;43230.30843;1338.703493
34180;19818.6901;27145.23082;7326.540718;23903.88912;1721.439168
9250;20236.25198;29000.62049;8764.368512;24728.92498;2298.219404
9258;33581.84636;40454.14099;6872.294625;37502.87995;1635.740038
9288;12875.02405;19212.7897;6337.765649;16036.01236;1496.068934
9251;10762.20607;19102.3993;8340.193235;15134.07517;1884.892681
9253;10688.43569;17325.8329;6637.397211;13610.02799;1524.966608
9255;17211.65611;31115.587;13903.93089;23163.63482;3504.601375
9259;8827.693643;19892.65472;11064.96107;14237.31163;2869.055159
9256;21252.00105;31818.87546;10566.87441;26690.32944;2319.205761
9257;22434.89531;26700.40297;4265.507663;24751.2556;1014.390864
9261;15550.95548;22808.89595;7257.940476;18900.82905;1696.055451
9262;36151.2375;41176.63107;5025.393571;38893.97593;1218.911701
9265;35712.77301;38462.29144;2749.518427;37101.89793;633.249204
9269;42112.26328;45533.75299;3421.48971;43724.53698;790.942388
9266;31032.85723;42777.30541;11744.44819;36782.93555;2904.475922
9267;21511.91558;31593.13784;10081.22226;26527.53533;2360.961962
9268;38305.88296;45248.26546;6942.382508;42007.74976;1676.006434
9270;18122.12801;31592.80234;13470.67433;23767.03782;3256.757781
9272;33473.2724;43696.87702;10223.60462;38189.95261;2174.989408
9274;37350.46708;43357.31201;6006.844938;40387.0445;1349.98748
9275;18174.23509;25995.63517;7821.400083;22078.04705;1811.01231
9276;10982.59881;15148.33017;4165.73136;13590.50396;898.841237
42131;26260.90084;31810.67441;5549.773564;28785.73955;1337.947986
9277;30434.76871;37158.9723;6724.20359;34266.20049;1498.300917
9279;6933.694745;12872.23565;5938.540907;9998.985027;1499.599377
9280;33840.21777;37621.57626;3781.358484;35802.02887;979.560911
9281;9765.218288;13903.48882;4138.270527;11290.18022;851.247731
9289;49319.28619;57602.03944;8282.753247;53095.72854;1965.804033
9292;25893.84214;29392.12329;3498.281153;27923.18919;725.730996
9294;34335.07711;38809.52637;4474.449256;36802.26025;1197.48043
9295;34888.62869;40313.65375;5425.025059;37419.78433;1190.848217
9297;8799.762801;15366.36706;6566.604259;12427.22615;1603.897488
9309;45652.16738;49668.722;4016.554626;47946.42922;954.158833
9298;19299.63068;29497.20781;10197.57713;24394.1184;2486.804796
9301;5677.78286;10337.69633;4659.913465;8303.020198;1082.057527
9302;42658.24888;52447.48177;9789.232884;47854.49892;2178.079138
9310;30160.2178;33758.17992;3597.962124;32009.70859;860.617656
9303;30478.79324;39040.89856;8562.105315;34646.35775;1908.753833
9304;9944.511377;14737.45636;4792.944987;12476.95143;1169.204311
9311;36607.48655;40277.80703;3670.32048;38408.02414;911.207937
9306;30525.80805;39378.71654;8852.90849;35501.24667;1869.75935
9307;21900.45236;28972.98457;7072.532202;25371.24061;2101.097874
9308;22590.10303;29435.51929;6845.416261;26083.44212;1644.610442
9314;17079.2089;24816.35657;7737.147672;21072.06472;1677.274817
9315;11337.8899;15506.07561;4168.185708;13174.71792;983.723073
9328;43950.95501;50735.81685;6784.861838;47148.88518;1626.014089
