CODMUNI;MINCARRETN;MAXCARRETN;RANGECARRETN;MEANCARRETN;STDCARRETN;MINDISAUT;MAXDISAUT;RANGEDISAUT;MEANDISAUT;STDDISAUT;MINDISFERR;MAXDISFERR;RANGEDISFERR;MEANDISFERR;STDDISFERR
22115;27.44344;10062.86494;10035.4215;5693.776234;2490.626169;10835.74319;22616.59739;11780.8542;16760.31289;2658.678889;16590.31999;30329.15527;13738.83528;24228.11917;2813.419396
22127;18.771929;3242.779652;3224.007724;1549.12353;753.603719;32.687008;3229.033267;3196.346259;1588.920188;669.631607;4829.01481;11549.28449;6720.269677;8554.448346;1471.548971
22116;12098.641;28110.47872;16011.83772;20695.49222;3665.420269;12046.85352;27820.57974;15773.72622;20393.77219;3602.038559;30.950176;11079.31469;11048.36451;4782.128288;2309.557029
22117;4.09994;16659.19906;16655.09912;6874.494634;4237.404837;16717.80207;47167.83566;30450.03359;32948.46985;7981.754106;19288.37605;51366.64265;32078.2666;36606.09321;8317.959448
22177;5751.486686;12519.62902;6768.142331;10137.25715;1352.119684;33386.48668;40141.04734;6754.560662;36366.95931;1489.179471;37460.15422;45448.86249;7988.708268;41782.67631;1652.859819
22119;25.200896;16118.08826;16092.88736;7317.167345;4052.987703;11.194941;16237.92673;16226.73179;7399.964003;4083.032317;927.44488;18859.26912;17931.82425;10381.65823;4187.6081
53049;9300.928029;15082.61201;5781.683981;12337.23723;1488.607734;29620.2702;33146.01021;3525.740007;31548.72682;793.758467;13704.75523;19364.23555;5659.480314;16763.21659;1459.528745
22124;13566.93397;25664.94347;12098.00951;18663.58474;2642.096195;13645.63431;25210.9625;11565.32819;18657.31688;2534.982472;614.686478;15300.65346;14685.96698;9407.154785;3076.153768
22125;12.650175;9021.398316;9008.748142;2673.699274;1684.171698;8.180839;8995.511219;8987.33038;3098.985577;1674.913009;21.473337;12845.448;12823.97466;4651.232899;2584.545153
22126;1484.255645;7419.92862;5935.672975;4344.070313;1419.19752;2245.339091;7807.033757;5561.694666;5193.279458;1346.849898;16344.7503;19816.70005;3471.949753;18055.04901;822.5808
22128;2759.92773;14790.22155;12030.29382;8124.922783;2696.263477;1120.319254;16670.3987;15550.07944;7446.38869;3875.781558;3397.239372;14206.55203;10809.31266;8951.255373;2127.318371
22135;212.168088;6530.77742;6318.609332;3838.565283;1467.051977;281.027531;6476.746003;6195.718472;3714.159206;1501.528004;13722.47762;21902.36287;8179.885248;17632.43907;1722.260973
22129;5474.968552;16740.70667;11265.73811;12304.88478;2491.526432;40255.84399;57289.97459;17034.1306;48878.55212;3280.096685;42693.27053;59704.32855;17011.05802;51735.91696;3294.935719
22130;9.793424;15847.77839;15837.98496;4888.92965;3292.840805;6.714964;29076.4397;29069.72474;6092.906;4576.613837;26.255138;12787.75873;12761.50359;5945.090116;2769.453504
22131;7332.8309;10865.71672;3532.88582;9118.557735;875.239298;13925.2714;17130.70791;3205.436505;15487.15199;815.980335;7854.777144;11456.63438;3601.857234;9618.810613;868.788236
22133;1286.180132;5557.35377;4271.173638;3336.147247;992.227499;36880.058;41964.30465;5084.246656;39317.13617;1229.945841;36757.48507;41961.43937;5203.9543;39243.48909;1257.548664
22136;19960.60161;34463.24513;14502.64352;27321.27526;3912.442483;19500.2642;33148.19222;13647.92801;27167.80334;3850.325595;15.300507;9388.822255;9373.521748;5406.057336;1739.361231
22139;5701.17698;8823.360581;3122.183601;7097.618263;717.657602;5657.60778;8952.199836;3294.592056;7106.515599;750.871703;15249.31711;18690.03692;3440.719812;16952.01165;739.535633
22137;14503.04269;34547.97192;20044.92923;26427.10017;4826.848995;11803.17974;33160.18884;21357.0091;24302.09228;5003.099422;6691.702287;24763.07685;18071.37456;15936.07876;4721.380987
22141;16.365569;4323.726149;4307.36058;1901.321489;962.807673;25.972359;4173.655206;4147.682847;1764.168809;943.946276;20926.05972;28007.99516;7081.935441;24989.20557;1673.798293
22142;3572.174021;13084.12831;9511.95429;8806.006497;2316.63278;34599.59393;42066.86594;7467.272012;38527.89337;1715.494179;36639.02053;44375.00553;7735.985002;40780.40071;1779.601678
22181;10447.74938;16719.4642;6271.714821;13567.84447;1370.147889;9797.986317;16099.63506;6301.64874;12974.3518;1384.607684;4849.505986;10793.52552;5944.019535;8223.842634;1347.364048
22143;19.968821;6990.53263;6970.563809;3214.068262;1549.455996;59098.29285;72423.58624;13325.29339;66038.2045;3118.361977;63099.37495;76220.62052;13121.24557;69642.1943;3292.489099
22156;3454.957354;8846.759101;5391.801747;5844.638558;1174.015298;3228.650794;8815.672557;5587.021763;5839.246222;1186.925855;1968.757078;9322.107966;7353.350889;5473.843693;1654.95251
22157;8.410171;10889.67818;10881.26801;4120.174988;2646.401711;66473.99456;87493.40583;21019.41127;76800.00772;5021.630654;69492.53836;90675.53944;21183.00108;80199.97128;5123.049278
22144;6047.032123;14497.7018;8450.669676;10542.04286;1815.689511;41478.38432;51106.04147;9627.657151;45836.21684;2344.195086;41137.79598;50789.26491;9651.468929;45537.28936;2368.776423
22149;12684.88009;23495.26646;10810.38637;18048.73634;2705.81265;12749.53627;23492.45582;10742.91955;17946.39087;2707.296009;856.963697;10043.65251;9186.688813;5063.712143;2052.797924
22150;106.613392;13617.65961;13511.04622;7868.13999;2861.207989;2206.477393;14089.12074;11882.64335;8604.670859;2452.989898;4863.589318;21800.54554;16936.95623;13879.96428;3850.077036
22151;14278.49695;19960.03595;5681.538998;17061.19078;1214.195489;14201.90895;20007.5736;5805.664644;17052.13993;1250.66618;2349.154744;17242.66988;14893.51514;7615.472398;3767.4619
22155;3226.938155;14604.13468;11377.19653;8237.240341;2651.034784;42481.66133;51520.07119;9038.409865;47093.62746;1956.436827;44405.25463;53773.93688;9368.682253;49045.7154;2033.8492
22158;27.664434;13553.66358;13525.99915;3780.694397;2658.659743;33.708048;15938.07387;15904.36582;4859.700439;3386.797543;20.991083;8493.569582;8472.578499;3915.906941;1801.99229
22160;8843.864073;17252.75851;8408.894441;12366.25666;2034.296892;17811.83742;25972.28733;8160.449913;21537.59378;1945.221705;27502.63442;36389.51623;8886.88181;31737.93061;1927.237434
22162;7736.751703;12695.11335;4958.36165;10302.26194;1031.361523;7105.696189;12256.47885;5150.782664;9817.302451;1042.191259;9903.105559;15541.07731;5637.971753;12122.36259;1323.998429
22163;25.751237;19033.56807;19007.81683;6235.728879;4833.173433;15.624352;19305.68626;19290.06191;6052.556629;4782.398162;5246.921409;27345.25519;22098.33378;15782.07357;4834.538647
22164;15.583949;3020.909043;3005.325094;1342.64831;745.212822;16224.90625;19873.59169;3648.68544;17989.88407;767.13758;20524.56386;24709.4218;4184.857942;22342.17987;944.112612
22167;12569.84794;17531.70936;4961.861416;15372.12957;1102.842078;12384.3047;19226.44334;6842.138639;16774.94597;1555.515448;12874.01512;21824.36187;8950.346752;17835.83657;2207.574572
22165;3921.09092;21810.23751;17889.14659;13666.90262;3917.065482;2924.050868;21300.39332;18376.34246;13134.587;4130.931972;15784.3523;32862.15367;17077.80137;24148.24275;3815.376198
22170;5801.827906;20116.98323;14315.15533;12368.49586;3633.076852;19484.21591;32693.75861;13209.5427;25513.76691;3488.125346;16307.23451;27648.48187;11341.24736;22383.76415;2256.972757
22172;4.346529;14268.31989;14263.97336;5254.609697;3579.729514;12.615786;18364.78889;18352.1731;6333.805644;4359.15114;12340.4124;33560.01671;21219.60431;25273.40311;5301.453402
22173;5674.452346;25746.34965;20071.8973;16047.0611;3799.430145;6439.008204;25905.13233;19466.12412;16600.82098;3720.292727;27.353164;18825.96099;18798.60782;6414.669598;4072.193318
22178;5914.545261;12850.98323;6936.437973;9349.604377;1551.49943;5897.761931;13175.81886;7278.05693;9554.4707;1648.051372;14402.54952;21689.35246;7286.802935;17902.93055;1533.313385
22174;10343.40873;20608.59112;10265.18239;15781.30476;2280.248291;10429.12487;23024.0814;12594.95653;16217.95542;2735.181795;54.265555;14661.66273;14607.39717;6902.161351;3586.197937
22175;2266.687151;12171.60857;9904.921417;6986.79532;2023.286704;10307.80464;22368.21939;12060.41475;16748.29598;2714.747885;10516.37952;24377.48985;13861.11033;17941.43957;3133.92915
22182;5659.377673;17652.66877;11993.2911;12155.92484;2366.570548;47095.91194;63641.41358;16545.50164;54826.43911;4147.560196;46688.28298;63207.32622;16519.04324;54409.71546;4147.667445
22188;29.036696;5266.119084;5237.082388;2177.089701;1093.738173;41721.31979;51288.78574;9567.465952;46601.45292;2223.002686;38656.0339;49797.18487;11141.15097;44028.71536;2413.674797
22202;5234.988052;8861.233791;3626.245739;7036.062459;875.898388;5848.73757;10678.69441;4829.956835;7969.682546;1149.085717;19706.5475;23450.39089;3743.84339;21634.39117;915.99213
22189;4377.570837;20061.91323;15684.34239;12615.86197;3628.438371;36235.07986;43750.7909;7515.711044;39799.38814;1633.056601;35611.47132;43274.82761;7663.35629;39279.94143;1682.753271
22190;361.513154;10007.57292;9646.059761;5704.261647;2003.876115;41484.0371;53861.68644;12377.64934;46526.1248;3261.344735;41393.27372;53570.70928;12177.43556;46585.59372;3181.065327
22193;5090.736733;8153.593423;3062.856689;6668.231485;702.689651;5555.916944;8930.134873;3374.217929;7231.007314;740.609535;4299.383345;8074.032106;3774.64876;6073.382215;976.277023
22195;6.880335;3118.771432;3111.891097;1282.502519;775.774161;3671.311823;6899.796389;3228.484566;5414.967457;726.12595;2725.446137;7048.35145;4322.905313;5062.880961;1097.289975
22197;15806.33804;24122.80721;8316.469177;20490.79109;1891.626852;15882.79409;23861.0658;7978.271709;20382.28552;1858.455946;5986.487093;17205.62217;11219.13508;11696.07577;2410.36631
22199;6.970584;19030.61527;19023.64468;5866.487878;4205.866846;9.244845;25111.65693;25102.41208;8760.656811;6252.935354;21.957344;30044.89771;30022.94036;11611.68039;7496.726315
22203;10268.49375;16277.26742;6008.773672;13329.0416;1292.998583;10143.40837;16161.77423;6018.365857;13167.89961;1304.948175;11033.80164;17971.52076;6937.719113;14175.93738;1569.653868
22204;4035.384717;21729.58037;17694.19566;12975.23885;3816.387408;18466.60316;34722.92466;16256.3215;26158.35123;4022.357625;5179.936141;23622.38026;18442.44412;14449.41952;4137.859001
22200;3359.745015;16711.42827;13351.68326;10517.27802;3039.321166;63251.35374;72181.79687;8930.443128;68157.7445;2070.18891;62788.24355;73165.59622;10377.35268;67738.63161;2180.197907
22201;5427.088755;12731.78195;7304.693194;9636.50626;1673.063127;5416.103942;13773.24483;8357.140886;9977.830633;1912.763269;20826.7139;27516.98052;6690.266624;24624.01558;1423.160577
22205;1343.746932;10777.45936;9433.712428;6077.536729;2203.258154;1821.290899;12680.58668;10859.29578;6642.003243;2538.286752;1773.097105;12482.18138;10709.08428;6992.278989;2584.184191
50052;284.759031;3573.143168;3288.384136;2074.875557;716.259983;665.219142;5035.934146;4370.715004;2536.518264;953.876922;4857.153104;7796.563207;2939.410103;6414.076446;582.949772
22207;8091.510693;19479.32898;11387.81829;14777.79936;2423.7531;58442.69922;68379.50802;9936.808799;63080.63963;2152.787605;57928.25812;67673.15158;9744.893459;62484.2252;2114.441831
22212;4005.564792;11141.3454;7135.780605;8048.110261;1657.472176;38098.26951;44904.31198;6806.042466;40992.10794;1517.524205;43676.83003;50739.04913;7062.219098;46859.21663;1618.033256
22213;17385.02628;33516.84783;16131.82155;25656.71748;3754.841106;13979.20066;31158.43359;17179.23293;24046.6497;3953.000022;31.87;18960.31776;18928.44776;8428.399701;4591.946921
22208;27.397387;5695.101366;5667.703979;2213.304259;1213.563247;38.213942;5483.874605;5445.660663;2386.446047;1154.14214;11005.13591;18730.21461;7725.078696;14661.64722;1771.948281
22209;140.246774;5757.226761;5616.979987;3104.947784;1304.905585;750.64807;6645.58448;5894.93641;3636.131767;1379.032371;9632.427666;15104.16789;5471.74022;12598.49094;1186.715606
22221;1476.806098;7102.756373;5625.950275;4175.575699;1532.708572;65988.81035;70675.88943;4687.079077;67796.17211;1145.386395;67696.16434;70444.9693;2748.804958;68880.15049;608.764481
22215;20.592947;10162.82705;10142.23411;4388.222683;2620.382825;55402.51612;64930.33796;9527.821848;59281.31375;2165.21354;55656.78257;66362.26909;10705.48652;61955.6218;2430.741107
50070;9996.08709;18153.20643;8157.119336;14725.10422;1880.741704;9847.80971;19571.58848;9723.77877;15370.47155;2245.083759;9136.032288;17917.38813;8781.355846;14315.90983;2036.791771
