codMuni;CCAA;Nombre;CodProv;NombreProvincia;NombreCCAA;NHOSPI;NFARMA;NCENTEDUC;NATURGHOSP;NATPRIMARIA;DISTHOSPIT;DISTFARMA;DISTCEDUC;DISTCURGH;DISTATPRIM
5220;7;San Pedro del Arroyo;5;Ávila;Castilla y León;0;0;0;1;2;21568.81198;11918.5648;10210.58542;1922.012442;1250.682151
5221;7;Santa Cruz del Valle;5;Ávila;Castilla y León;0;0;0;0;1;54830.26759;22114.5384;5448.319243;3915.455138;2968.010015
5222;7;Santa Cruz de Pinares;5;Ávila;Castilla y León;0;0;2;0;2;15438.14479;6935.689658;2895.881119;7296.592298;2082.250255
5224;7;Santa María del Arroyo;5;Ávila;Castilla y León;0;0;0;0;1;21360.15739;3028.048644;6536.174545;6827.851036;1287.372446
5225;7;Santa María del Berrocal;5;Ávila;Castilla y León;0;0;0;0;1;54173.6983;14682.7439;7886.759173;9117.215396;1728.480525
5226;7;Santa María de los Caballeros;5;Ávila;Castilla y León;0;0;0;0;5;64744.69179;1569.44562;4725.874202;6654.400191;952.040049
5227;7;Santa María del Tiétar;5;Ávila;Castilla y León;0;0;2;0;1;40127.99661;3916.560373;1472.3076;3488.724265;1339.266775
5228;7;Santiago del Collado;5;Ávila;Castilla y León;0;0;0;0;4;59916.75792;17189.39796;4578.209527;4793.498594;1832.373007
5229;7;Santo Domingo de las Posadas;5;Ávila;Castilla y León;0;0;0;0;1;14163.1852;12705.35401;11378.28642;15979.12477;1870.247175
5230;7;Santo Tomé de Zabarcos;5;Ávila;Castilla y León;0;0;0;0;1;23095.82651;10358.02265;8754.71971;3026.975609;1175.443536
5231;7;San Vicente de Arévalo;5;Ávila;Castilla y León;0;0;0;0;1;11740.52595;19222.73936;13769.82398;12257.79016;1601.959861
5232;7;La Serrada;5;Ávila;Castilla y León;0;0;0;0;1;8141.721709;13741.13671;7932.116814;5536.079312;1113.338898
5233;7;Serranillos;5;Ávila;Castilla y León;0;1;0;0;1;39953.97644;11172.65388;6365.169324;11987.50049;2019.727153
5234;7;Sigeres;5;Ávila;Castilla y León;0;0;0;0;1;25925.15972;4899.053213;6879.246259;5674.324051;1146.787178
5235;7;Sinlabajos;5;Ávila;Castilla y León;0;0;0;0;1;11296.08878;9544.736015;15866.83217;10837.17762;1880.825592
